ダウンロードした時刻：2019/09/29 18:59:24

,さいたま,さいたま,さいたま
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2019/1/1,3.8,8,1
2019/1/2,4.7,8,1
2019/1/3,3.2,8,1
2019/1/4,3.2,8,1
2019/1/5,5.9,8,1
2019/1/6,4.6,8,1
2019/1/7,3.7,8,1
2019/1/8,2.8,8,1
2019/1/9,3.5,8,1
2019/1/10,0.0,8,1
2019/1/11,5.2,8,1
2019/1/12,3.3,8,1
2019/1/13,5.7,8,1
2019/1/14,3.1,8,1
2019/1/15,1.8,8,1
2019/1/16,4.8,8,1
2019/1/17,6.3,8,1
2019/1/18,5.2,8,1
2019/1/19,5.6,8,1
2019/1/20,5.5,8,1
2019/1/21,4.8,8,1
2019/1/22,3.0,8,1
2019/1/23,4.2,8,1
2019/1/24,5.6,8,1
2019/1/25,5.0,8,1
2019/1/26,3.7,8,1
2019/1/27,3.6,8,1
2019/1/28,2.8,8,1
2019/1/29,5.3,8,1
2019/1/30,3.5,8,1
2019/1/31,3.8,8,1
2019/2/1,3.4,8,1
2019/2/2,5.3,8,1
2019/2/3,6.0,8,1
2019/2/4,9.5,8,1
2019/2/5,6.9,8,1
2019/2/6,4.8,8,1
2019/2/7,6.7,8,1
2019/2/8,5.0,8,1
2019/2/9,0.5,8,1
2019/2/10,2.8,8,1
2019/2/11,2.6,8,1
2019/2/12,5.0,8,1
2019/2/13,4.5,8,1
2019/2/14,3.8,8,1
2019/2/15,2.3,8,1
2019/2/16,5.5,8,1
2019/2/17,5.5,8,1
2019/2/18,6.8,8,1
2019/2/19,6.9,8,1
2019/2/20,10.7,8,1
2019/2/21,9.4,8,1
2019/2/22,8.6,8,1
2019/2/23,8.2,8,1
2019/2/24,7.4,8,1
2019/2/25,10.2,8,1
2019/2/26,10.1,8,1
2019/2/27,7.4,8,1
2019/2/28,6.6,8,1
2019/3/1,8.9,8,1
2019/3/2,9.5,8,1
2019/3/3,5.9,8,1
2019/3/4,7.5,8,1
2019/3/5,9.8,8,1
2019/3/6,10.0,8,1
2019/3/7,8.4,8,1
2019/3/8,6.4,8,1
2019/3/9,8.3,8,1
2019/3/10,10.7,8,1
2019/3/11,11.7,8,1
2019/3/12,12.2,8,1
2019/3/13,10.0,8,1
2019/3/14,6.9,8,1
2019/3/15,8.5,8,1
2019/3/16,8.2,8,1
2019/3/17,7.9,8,1
2019/3/18,9.3,8,1
2019/3/19,11.3,8,1
2019/3/20,13.9,8,1
2019/3/21,16.1,8,1
2019/3/22,14.1,8,1
2019/3/23,6.8,8,1
2019/3/24,6.4,8,1
2019/3/25,9.1,8,1
2019/3/26,11.4,8,1
2019/3/27,13.2,8,1
2019/3/28,12.8,8,1
2019/3/29,7.6,8,1
2019/3/30,7.9,8,1
2019/3/31,10.0,8,1
2019/4/1,8.5,8,1
2019/4/2,6.8,8,1
2019/4/3,6.8,8,1
2019/4/4,9.5,8,1
2019/4/5,13.7,8,1
2019/4/6,15.1,8,1
2019/4/7,14.6,8,1
2019/4/8,9.3,8,1
2019/4/9,9.8,8,1
2019/4/10,4.5,8,1
2019/4/11,9.9,8,1
2019/4/12,9.1,8,1
2019/4/13,11.4,8,1
2019/4/14,13.9,8,1
2019/4/15,15.4,8,1
2019/4/16,15.0,8,1
2019/4/17,14.2,8,1
2019/4/18,17.0,8,1
2019/4/19,17.6,8,1
2019/4/20,14.5,8,1
2019/4/21,16.8,8,1
2019/4/22,19.0,8,1
2019/4/23,19.1,8,1
2019/4/24,18.9,8,1
2019/4/25,21.5,8,1
2019/4/26,12.1,8,1
2019/4/27,10.6,8,1
2019/4/28,12.8,8,1
2019/4/29,15.1,8,1
2019/4/30,15.1,8,1
